scene_id,scene_key,dataset,split,source_group,eligible_frame_count,frame_count,scene_root
bridgedata_v2__train_00018__traj_0006,bridgedata_v2/train_00018/traj_0006,bridgedata_v2,train,bridgedata_v2:train_00018,34,34,data/processed/bridgedata_v2/train_00018/traj_0006
bridgedata_v2__train_00020__traj_0005,bridgedata_v2/train_00020/traj_0005,bridgedata_v2,train,bridgedata_v2:train_00020,24,24,data/processed/bridgedata_v2/train_00020/traj_0005
bridgedata_v2__train_00021__traj_0023,bridgedata_v2/train_00021/traj_0023,bridgedata_v2,train,bridgedata_v2:train_00021,36,36,data/processed/bridgedata_v2/train_00021/traj_0023
bridgedata_v2__train_00024__traj_0012,bridgedata_v2/train_00024/traj_0012,bridgedata_v2,train,bridgedata_v2:train_00024,49,49,data/processed/bridgedata_v2/train_00024/traj_0012
bridgedata_v2__train_00024__traj_0020,bridgedata_v2/train_00024/traj_0020,bridgedata_v2,train,bridgedata_v2:train_00024,19,19,data/processed/bridgedata_v2/train_00024/traj_0020
bridgedata_v2__train_00025__traj_0012,bridgedata_v2/train_00025/traj_0012,bridgedata_v2,train,bridgedata_v2:train_00025,49,49,data/processed/bridgedata_v2/train_00025/traj_0012
bridgedata_v2__train_00025__traj_0014,bridgedata_v2/train_00025/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00025,24,24,data/processed/bridgedata_v2/train_00025/traj_0014
bridgedata_v2__train_00027__traj_0005,bridgedata_v2/train_00027/traj_0005,bridgedata_v2,train,bridgedata_v2:train_00027,37,37,data/processed/bridgedata_v2/train_00027/traj_0005
bridgedata_v2__train_00028__traj_0000,bridgedata_v2/train_00028/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00028,45,45,data/processed/bridgedata_v2/train_00028/traj_0000
bridgedata_v2__train_00030__traj_0003,bridgedata_v2/train_00030/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00030,37,37,data/processed/bridgedata_v2/train_00030/traj_0003
bridgedata_v2__train_00034__traj_0007,bridgedata_v2/train_00034/traj_0007,bridgedata_v2,train,bridgedata_v2:train_00034,39,39,data/processed/bridgedata_v2/train_00034/traj_0007
bridgedata_v2__train_00034__traj_0024,bridgedata_v2/train_00034/traj_0024,bridgedata_v2,train,bridgedata_v2:train_00034,39,39,data/processed/bridgedata_v2/train_00034/traj_0024
bridgedata_v2__train_00035__traj_0000,bridgedata_v2/train_00035/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00035,35,35,data/processed/bridgedata_v2/train_00035/traj_0000
bridgedata_v2__train_00035__traj_0001,bridgedata_v2/train_00035/traj_0001,bridgedata_v2,train,bridgedata_v2:train_00035,34,34,data/processed/bridgedata_v2/train_00035/traj_0001
bridgedata_v2__train_00035__traj_0014,bridgedata_v2/train_00035/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00035,36,36,data/processed/bridgedata_v2/train_00035/traj_0014
bridgedata_v2__train_00036__traj_0014,bridgedata_v2/train_00036/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00036,49,49,data/processed/bridgedata_v2/train_00036/traj_0014
bridgedata_v2__train_00036__traj_0018,bridgedata_v2/train_00036/traj_0018,bridgedata_v2,train,bridgedata_v2:train_00036,49,49,data/processed/bridgedata_v2/train_00036/traj_0018
bridgedata_v2__train_00038__traj_0011,bridgedata_v2/train_00038/traj_0011,bridgedata_v2,train,bridgedata_v2:train_00038,41,41,data/processed/bridgedata_v2/train_00038/traj_0011
bridgedata_v2__train_00038__traj_0013,bridgedata_v2/train_00038/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00038,42,42,data/processed/bridgedata_v2/train_00038/traj_0013
bridgedata_v2__train_00038__traj_0016,bridgedata_v2/train_00038/traj_0016,bridgedata_v2,train,bridgedata_v2:train_00038,44,44,data/processed/bridgedata_v2/train_00038/traj_0016
bridgedata_v2__train_00039__traj_0023,bridgedata_v2/train_00039/traj_0023,bridgedata_v2,train,bridgedata_v2:train_00039,35,35,data/processed/bridgedata_v2/train_00039/traj_0023
bridgedata_v2__train_00040__traj_0014,bridgedata_v2/train_00040/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00040,19,19,data/processed/bridgedata_v2/train_00040/traj_0014
bridgedata_v2__train_00040__traj_0025,bridgedata_v2/train_00040/traj_0025,bridgedata_v2,train,bridgedata_v2:train_00040,39,39,data/processed/bridgedata_v2/train_00040/traj_0025
bridgedata_v2__train_00041__traj_0010,bridgedata_v2/train_00041/traj_0010,bridgedata_v2,train,bridgedata_v2:train_00041,22,22,data/processed/bridgedata_v2/train_00041/traj_0010
bridgedata_v2__train_00042__traj_0002,bridgedata_v2/train_00042/traj_0002,bridgedata_v2,train,bridgedata_v2:train_00042,35,35,data/processed/bridgedata_v2/train_00042/traj_0002
bridgedata_v2__train_00043__traj_0013,bridgedata_v2/train_00043/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00043,20,20,data/processed/bridgedata_v2/train_00043/traj_0013
bridgedata_v2__train_00044__traj_0013,bridgedata_v2/train_00044/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00044,39,39,data/processed/bridgedata_v2/train_00044/traj_0013
bridgedata_v2__train_00044__traj_0017,bridgedata_v2/train_00044/traj_0017,bridgedata_v2,train,bridgedata_v2:train_00044,46,46,data/processed/bridgedata_v2/train_00044/traj_0017
bridgedata_v2__train_00045__traj_0010,bridgedata_v2/train_00045/traj_0010,bridgedata_v2,train,bridgedata_v2:train_00045,32,32,data/processed/bridgedata_v2/train_00045/traj_0010
bridgedata_v2__train_00045__traj_0013,bridgedata_v2/train_00045/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00045,41,41,data/processed/bridgedata_v2/train_00045/traj_0013
bridgedata_v2__train_00046__traj_0000,bridgedata_v2/train_00046/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00046,44,44,data/processed/bridgedata_v2/train_00046/traj_0000
bridgedata_v2__train_00046__traj_0012,bridgedata_v2/train_00046/traj_0012,bridgedata_v2,train,bridgedata_v2:train_00046,24,24,data/processed/bridgedata_v2/train_00046/traj_0012
bridgedata_v2__train_00048__traj_0010,bridgedata_v2/train_00048/traj_0010,bridgedata_v2,train,bridgedata_v2:train_00048,35,35,data/processed/bridgedata_v2/train_00048/traj_0010
bridgedata_v2__train_00048__traj_0017,bridgedata_v2/train_00048/traj_0017,bridgedata_v2,train,bridgedata_v2:train_00048,49,49,data/processed/bridgedata_v2/train_00048/traj_0017
bridgedata_v2__train_00050__traj_0013,bridgedata_v2/train_00050/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00050,40,40,data/processed/bridgedata_v2/train_00050/traj_0013
bridgedata_v2__train_00053__traj_0004,bridgedata_v2/train_00053/traj_0004,bridgedata_v2,train,bridgedata_v2:train_00053,26,26,data/processed/bridgedata_v2/train_00053/traj_0004
bridgedata_v2__train_00053__traj_0008,bridgedata_v2/train_00053/traj_0008,bridgedata_v2,train,bridgedata_v2:train_00053,39,39,data/processed/bridgedata_v2/train_00053/traj_0008
bridgedata_v2__train_00054__traj_0000,bridgedata_v2/train_00054/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00054,49,49,data/processed/bridgedata_v2/train_00054/traj_0000
bridgedata_v2__train_00055__traj_0024,bridgedata_v2/train_00055/traj_0024,bridgedata_v2,train,bridgedata_v2:train_00055,17,17,data/processed/bridgedata_v2/train_00055/traj_0024
bridgedata_v2__train_00056__traj_0017,bridgedata_v2/train_00056/traj_0017,bridgedata_v2,train,bridgedata_v2:train_00056,79,64,data/processed/bridgedata_v2/train_00056/traj_0017
bridgedata_v2__train_00057__traj_0014,bridgedata_v2/train_00057/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00057,29,29,data/processed/bridgedata_v2/train_00057/traj_0014
bridgedata_v2__train_00059__traj_0016,bridgedata_v2/train_00059/traj_0016,bridgedata_v2,train,bridgedata_v2:train_00059,24,24,data/processed/bridgedata_v2/train_00059/traj_0016
bridgedata_v2__train_00060__traj_0002,bridgedata_v2/train_00060/traj_0002,bridgedata_v2,train,bridgedata_v2:train_00060,24,24,data/processed/bridgedata_v2/train_00060/traj_0002
bridgedata_v2__train_00063__traj_0001,bridgedata_v2/train_00063/traj_0001,bridgedata_v2,train,bridgedata_v2:train_00063,20,20,data/processed/bridgedata_v2/train_00063/traj_0001
bridgedata_v2__train_00063__traj_0003,bridgedata_v2/train_00063/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00063,24,24,data/processed/bridgedata_v2/train_00063/traj_0003
bridgedata_v2__train_00063__traj_0012,bridgedata_v2/train_00063/traj_0012,bridgedata_v2,train,bridgedata_v2:train_00063,47,47,data/processed/bridgedata_v2/train_00063/traj_0012
bridgedata_v2__train_00064__traj_0015,bridgedata_v2/train_00064/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00064,48,48,data/processed/bridgedata_v2/train_00064/traj_0015
bridgedata_v2__train_00064__traj_0019,bridgedata_v2/train_00064/traj_0019,bridgedata_v2,train,bridgedata_v2:train_00064,21,21,data/processed/bridgedata_v2/train_00064/traj_0019
bridgedata_v2__train_00065__traj_0014,bridgedata_v2/train_00065/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00065,41,41,data/processed/bridgedata_v2/train_00065/traj_0014
bridgedata_v2__train_00066__traj_0010,bridgedata_v2/train_00066/traj_0010,bridgedata_v2,train,bridgedata_v2:train_00066,44,44,data/processed/bridgedata_v2/train_00066/traj_0010
bridgedata_v2__train_00069__traj_0000,bridgedata_v2/train_00069/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00069,40,40,data/processed/bridgedata_v2/train_00069/traj_0000
bridgedata_v2__train_00069__traj_0006,bridgedata_v2/train_00069/traj_0006,bridgedata_v2,train,bridgedata_v2:train_00069,39,39,data/processed/bridgedata_v2/train_00069/traj_0006
bridgedata_v2__train_00073__traj_0020,bridgedata_v2/train_00073/traj_0020,bridgedata_v2,train,bridgedata_v2:train_00073,39,39,data/processed/bridgedata_v2/train_00073/traj_0020
bridgedata_v2__train_00074__traj_0006,bridgedata_v2/train_00074/traj_0006,bridgedata_v2,train,bridgedata_v2:train_00074,38,38,data/processed/bridgedata_v2/train_00074/traj_0006
bridgedata_v2__train_00076__traj_0015,bridgedata_v2/train_00076/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00076,24,24,data/processed/bridgedata_v2/train_00076/traj_0015
bridgedata_v2__train_00077__traj_0002,bridgedata_v2/train_00077/traj_0002,bridgedata_v2,train,bridgedata_v2:train_00077,47,47,data/processed/bridgedata_v2/train_00077/traj_0002
bridgedata_v2__train_00077__traj_0016,bridgedata_v2/train_00077/traj_0016,bridgedata_v2,train,bridgedata_v2:train_00077,34,34,data/processed/bridgedata_v2/train_00077/traj_0016
bridgedata_v2__train_00081__traj_0006,bridgedata_v2/train_00081/traj_0006,bridgedata_v2,train,bridgedata_v2:train_00081,38,38,data/processed/bridgedata_v2/train_00081/traj_0006
bridgedata_v2__train_00081__traj_0015,bridgedata_v2/train_00081/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00081,27,27,data/processed/bridgedata_v2/train_00081/traj_0015
bridgedata_v2__train_00083__traj_0014,bridgedata_v2/train_00083/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00083,17,17,data/processed/bridgedata_v2/train_00083/traj_0014
bridgedata_v2__train_00084__traj_0007,bridgedata_v2/train_00084/traj_0007,bridgedata_v2,train,bridgedata_v2:train_00084,27,27,data/processed/bridgedata_v2/train_00084/traj_0007
bridgedata_v2__train_00084__traj_0015,bridgedata_v2/train_00084/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00084,27,27,data/processed/bridgedata_v2/train_00084/traj_0015
bridgedata_v2__train_00085__traj_0006,bridgedata_v2/train_00085/traj_0006,bridgedata_v2,train,bridgedata_v2:train_00085,29,29,data/processed/bridgedata_v2/train_00085/traj_0006
bridgedata_v2__train_00085__traj_0020,bridgedata_v2/train_00085/traj_0020,bridgedata_v2,train,bridgedata_v2:train_00085,32,32,data/processed/bridgedata_v2/train_00085/traj_0020
bridgedata_v2__train_00086__traj_0009,bridgedata_v2/train_00086/traj_0009,bridgedata_v2,train,bridgedata_v2:train_00086,39,39,data/processed/bridgedata_v2/train_00086/traj_0009
bridgedata_v2__train_00086__traj_0013,bridgedata_v2/train_00086/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00086,39,39,data/processed/bridgedata_v2/train_00086/traj_0013
bridgedata_v2__train_00087__traj_0004,bridgedata_v2/train_00087/traj_0004,bridgedata_v2,train,bridgedata_v2:train_00087,66,64,data/processed/bridgedata_v2/train_00087/traj_0004
bridgedata_v2__train_00088__traj_0017,bridgedata_v2/train_00088/traj_0017,bridgedata_v2,train,bridgedata_v2:train_00088,28,28,data/processed/bridgedata_v2/train_00088/traj_0017
bridgedata_v2__train_00091__traj_0009,bridgedata_v2/train_00091/traj_0009,bridgedata_v2,train,bridgedata_v2:train_00091,37,37,data/processed/bridgedata_v2/train_00091/traj_0009
bridgedata_v2__train_00092__traj_0008,bridgedata_v2/train_00092/traj_0008,bridgedata_v2,train,bridgedata_v2:train_00092,24,24,data/processed/bridgedata_v2/train_00092/traj_0008
bridgedata_v2__train_00093__traj_0007,bridgedata_v2/train_00093/traj_0007,bridgedata_v2,train,bridgedata_v2:train_00093,24,24,data/processed/bridgedata_v2/train_00093/traj_0007
bridgedata_v2__train_00095__traj_0010,bridgedata_v2/train_00095/traj_0010,bridgedata_v2,train,bridgedata_v2:train_00095,25,25,data/processed/bridgedata_v2/train_00095/traj_0010
bridgedata_v2__train_00097__traj_0013,bridgedata_v2/train_00097/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00097,49,49,data/processed/bridgedata_v2/train_00097/traj_0013
bridgedata_v2__train_00100__traj_0005,bridgedata_v2/train_00100/traj_0005,bridgedata_v2,train,bridgedata_v2:train_00100,49,49,data/processed/bridgedata_v2/train_00100/traj_0005
bridgedata_v2__train_00101__traj_0003,bridgedata_v2/train_00101/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00101,47,47,data/processed/bridgedata_v2/train_00101/traj_0003
bridgedata_v2__train_00103__traj_0005,bridgedata_v2/train_00103/traj_0005,bridgedata_v2,train,bridgedata_v2:train_00103,21,21,data/processed/bridgedata_v2/train_00103/traj_0005
bridgedata_v2__train_00103__traj_0020,bridgedata_v2/train_00103/traj_0020,bridgedata_v2,train,bridgedata_v2:train_00103,34,34,data/processed/bridgedata_v2/train_00103/traj_0020
bridgedata_v2__train_00104__traj_0000,bridgedata_v2/train_00104/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00104,43,43,data/processed/bridgedata_v2/train_00104/traj_0000
bridgedata_v2__train_00105__traj_0015,bridgedata_v2/train_00105/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00105,29,29,data/processed/bridgedata_v2/train_00105/traj_0015
bridgedata_v2__train_00108__traj_0000,bridgedata_v2/train_00108/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00108,37,37,data/processed/bridgedata_v2/train_00108/traj_0000
bridgedata_v2__train_00108__traj_0014,bridgedata_v2/train_00108/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00108,47,47,data/processed/bridgedata_v2/train_00108/traj_0014
bridgedata_v2__train_00109__traj_0003,bridgedata_v2/train_00109/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00109,28,28,data/processed/bridgedata_v2/train_00109/traj_0003
bridgedata_v2__train_00109__traj_0009,bridgedata_v2/train_00109/traj_0009,bridgedata_v2,train,bridgedata_v2:train_00109,24,24,data/processed/bridgedata_v2/train_00109/traj_0009
bridgedata_v2__train_00110__traj_0000,bridgedata_v2/train_00110/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00110,19,19,data/processed/bridgedata_v2/train_00110/traj_0000
bridgedata_v2__train_00111__traj_0001,bridgedata_v2/train_00111/traj_0001,bridgedata_v2,train,bridgedata_v2:train_00111,49,49,data/processed/bridgedata_v2/train_00111/traj_0001
bridgedata_v2__train_00111__traj_0003,bridgedata_v2/train_00111/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00111,49,49,data/processed/bridgedata_v2/train_00111/traj_0003
bridgedata_v2__train_00112__traj_0001,bridgedata_v2/train_00112/traj_0001,bridgedata_v2,train,bridgedata_v2:train_00112,26,26,data/processed/bridgedata_v2/train_00112/traj_0001
bridgedata_v2__train_00112__traj_0013,bridgedata_v2/train_00112/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00112,22,22,data/processed/bridgedata_v2/train_00112/traj_0013
bridgedata_v2__train_00113__traj_0012,bridgedata_v2/train_00113/traj_0012,bridgedata_v2,train,bridgedata_v2:train_00113,49,49,data/processed/bridgedata_v2/train_00113/traj_0012
bridgedata_v2__train_00115__traj_0006,bridgedata_v2/train_00115/traj_0006,bridgedata_v2,train,bridgedata_v2:train_00115,25,25,data/processed/bridgedata_v2/train_00115/traj_0006
bridgedata_v2__train_00115__traj_0009,bridgedata_v2/train_00115/traj_0009,bridgedata_v2,train,bridgedata_v2:train_00115,27,27,data/processed/bridgedata_v2/train_00115/traj_0009
bridgedata_v2__train_00117__traj_0011,bridgedata_v2/train_00117/traj_0011,bridgedata_v2,train,bridgedata_v2:train_00117,21,21,data/processed/bridgedata_v2/train_00117/traj_0011
bridgedata_v2__train_00122__traj_0003,bridgedata_v2/train_00122/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00122,24,24,data/processed/bridgedata_v2/train_00122/traj_0003
bridgedata_v2__train_00122__traj_0017,bridgedata_v2/train_00122/traj_0017,bridgedata_v2,train,bridgedata_v2:train_00122,28,28,data/processed/bridgedata_v2/train_00122/traj_0017
bridgedata_v2__train_00123__traj_0030,bridgedata_v2/train_00123/traj_0030,bridgedata_v2,train,bridgedata_v2:train_00123,39,39,data/processed/bridgedata_v2/train_00123/traj_0030
bridgedata_v2__train_00124__traj_0019,bridgedata_v2/train_00124/traj_0019,bridgedata_v2,train,bridgedata_v2:train_00124,44,44,data/processed/bridgedata_v2/train_00124/traj_0019
bridgedata_v2__train_00129__traj_0029,bridgedata_v2/train_00129/traj_0029,bridgedata_v2,train,bridgedata_v2:train_00129,49,49,data/processed/bridgedata_v2/train_00129/traj_0029
bridgedata_v2__train_00131__traj_0016,bridgedata_v2/train_00131/traj_0016,bridgedata_v2,train,bridgedata_v2:train_00131,30,30,data/processed/bridgedata_v2/train_00131/traj_0016
bridgedata_v2__train_00135__traj_0009,bridgedata_v2/train_00135/traj_0009,bridgedata_v2,train,bridgedata_v2:train_00135,49,49,data/processed/bridgedata_v2/train_00135/traj_0009
bridgedata_v2__train_00137__traj_0000,bridgedata_v2/train_00137/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00137,32,32,data/processed/bridgedata_v2/train_00137/traj_0000
bridgedata_v2__train_00139__traj_0020,bridgedata_v2/train_00139/traj_0020,bridgedata_v2,train,bridgedata_v2:train_00139,79,64,data/processed/bridgedata_v2/train_00139/traj_0020
bridgedata_v2__train_00144__traj_0011,bridgedata_v2/train_00144/traj_0011,bridgedata_v2,train,bridgedata_v2:train_00144,14,14,data/processed/bridgedata_v2/train_00144/traj_0011
bridgedata_v2__train_00144__traj_0013,bridgedata_v2/train_00144/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00144,32,32,data/processed/bridgedata_v2/train_00144/traj_0013
bridgedata_v2__train_00145__traj_0014,bridgedata_v2/train_00145/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00145,24,24,data/processed/bridgedata_v2/train_00145/traj_0014
bridgedata_v2__train_00147__traj_0012,bridgedata_v2/train_00147/traj_0012,bridgedata_v2,train,bridgedata_v2:train_00147,39,39,data/processed/bridgedata_v2/train_00147/traj_0012
bridgedata_v2__train_00148__traj_0000,bridgedata_v2/train_00148/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00148,33,33,data/processed/bridgedata_v2/train_00148/traj_0000
bridgedata_v2__train_00148__traj_0015,bridgedata_v2/train_00148/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00148,29,29,data/processed/bridgedata_v2/train_00148/traj_0015
bridgedata_v2__train_00148__traj_0017,bridgedata_v2/train_00148/traj_0017,bridgedata_v2,train,bridgedata_v2:train_00148,42,42,data/processed/bridgedata_v2/train_00148/traj_0017
bridgedata_v2__train_00148__traj_0018,bridgedata_v2/train_00148/traj_0018,bridgedata_v2,train,bridgedata_v2:train_00148,36,36,data/processed/bridgedata_v2/train_00148/traj_0018
bridgedata_v2__train_00148__traj_0021,bridgedata_v2/train_00148/traj_0021,bridgedata_v2,train,bridgedata_v2:train_00148,24,24,data/processed/bridgedata_v2/train_00148/traj_0021
bridgedata_v2__train_00153__traj_0011,bridgedata_v2/train_00153/traj_0011,bridgedata_v2,train,bridgedata_v2:train_00153,26,26,data/processed/bridgedata_v2/train_00153/traj_0011
bridgedata_v2__train_00153__traj_0013,bridgedata_v2/train_00153/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00153,40,40,data/processed/bridgedata_v2/train_00153/traj_0013
bridgedata_v2__train_00153__traj_0014,bridgedata_v2/train_00153/traj_0014,bridgedata_v2,train,bridgedata_v2:train_00153,37,37,data/processed/bridgedata_v2/train_00153/traj_0014
bridgedata_v2__train_00154__traj_0015,bridgedata_v2/train_00154/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00154,46,46,data/processed/bridgedata_v2/train_00154/traj_0015
bridgedata_v2__train_00158__traj_0015,bridgedata_v2/train_00158/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00158,45,45,data/processed/bridgedata_v2/train_00158/traj_0015
bridgedata_v2__train_00159__traj_0004,bridgedata_v2/train_00159/traj_0004,bridgedata_v2,train,bridgedata_v2:train_00159,33,33,data/processed/bridgedata_v2/train_00159/traj_0004
bridgedata_v2__train_00159__traj_0020,bridgedata_v2/train_00159/traj_0020,bridgedata_v2,train,bridgedata_v2:train_00159,26,26,data/processed/bridgedata_v2/train_00159/traj_0020
bridgedata_v2__train_00161__traj_0003,bridgedata_v2/train_00161/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00161,42,42,data/processed/bridgedata_v2/train_00161/traj_0003
bridgedata_v2__train_00164__traj_0013,bridgedata_v2/train_00164/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00164,31,31,data/processed/bridgedata_v2/train_00164/traj_0013
bridgedata_v2__train_00165__traj_0010,bridgedata_v2/train_00165/traj_0010,bridgedata_v2,train,bridgedata_v2:train_00165,38,38,data/processed/bridgedata_v2/train_00165/traj_0010
bridgedata_v2__train_00166__traj_0017,bridgedata_v2/train_00166/traj_0017,bridgedata_v2,train,bridgedata_v2:train_00166,23,23,data/processed/bridgedata_v2/train_00166/traj_0017
bridgedata_v2__train_00168__traj_0012,bridgedata_v2/train_00168/traj_0012,bridgedata_v2,train,bridgedata_v2:train_00168,38,38,data/processed/bridgedata_v2/train_00168/traj_0012
bridgedata_v2__train_00170__traj_0012,bridgedata_v2/train_00170/traj_0012,bridgedata_v2,train,bridgedata_v2:train_00170,48,48,data/processed/bridgedata_v2/train_00170/traj_0012
bridgedata_v2__train_00173__traj_0028,bridgedata_v2/train_00173/traj_0028,bridgedata_v2,train,bridgedata_v2:train_00173,39,39,data/processed/bridgedata_v2/train_00173/traj_0028
bridgedata_v2__train_00174__traj_0021,bridgedata_v2/train_00174/traj_0021,bridgedata_v2,train,bridgedata_v2:train_00174,24,24,data/processed/bridgedata_v2/train_00174/traj_0021
bridgedata_v2__train_00174__traj_0022,bridgedata_v2/train_00174/traj_0022,bridgedata_v2,train,bridgedata_v2:train_00174,43,43,data/processed/bridgedata_v2/train_00174/traj_0022
bridgedata_v2__train_00176__traj_0024,bridgedata_v2/train_00176/traj_0024,bridgedata_v2,train,bridgedata_v2:train_00176,19,19,data/processed/bridgedata_v2/train_00176/traj_0024
bridgedata_v2__train_00177__traj_0006,bridgedata_v2/train_00177/traj_0006,bridgedata_v2,train,bridgedata_v2:train_00177,44,44,data/processed/bridgedata_v2/train_00177/traj_0006
bridgedata_v2__train_00179__traj_0000,bridgedata_v2/train_00179/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00179,25,25,data/processed/bridgedata_v2/train_00179/traj_0000
bridgedata_v2__train_00179__traj_0003,bridgedata_v2/train_00179/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00179,39,39,data/processed/bridgedata_v2/train_00179/traj_0003
bridgedata_v2__train_00179__traj_0019,bridgedata_v2/train_00179/traj_0019,bridgedata_v2,train,bridgedata_v2:train_00179,49,49,data/processed/bridgedata_v2/train_00179/traj_0019
