scene_key,dataset,source_group,format,depth_kind,pose_kind,eligible_frame_count,full_count,scene_root
DL3DV-ALL-480P/10K_extracted/9b3bb8bd9118cccbdb50b217cc70d0eea57a31c10730453ab5ed996cc8b14285,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9b3bb8bd9118cccbdb50b217cc70d0eea57a31c10730453ab5ed996cc8b14285
DL3DV-ALL-480P/10K_extracted/9b9050cb9ee1054e5d04d07297c29394dd12a67b32555e80aca8d14a69decb5c,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9b9050cb9ee1054e5d04d07297c29394dd12a67b32555e80aca8d14a69decb5c
DL3DV-ALL-480P/10K_extracted/9ba50e63bcd036100552ca389b8733b479b29715b2b7f452c0cfe0e22dc54546,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9ba50e63bcd036100552ca389b8733b479b29715b2b7f452c0cfe0e22dc54546
DL3DV-ALL-480P/10K_extracted/9c141498c817249315734c6fbe9c3d598cd122cfe677cd98ff8469e76153a748,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9c141498c817249315734c6fbe9c3d598cd122cfe677cd98ff8469e76153a748
DL3DV-ALL-480P/10K_extracted/9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9c8c0e0fadd97abf60088f667eba058ef077a71a8c0f5a4eff2782aa97f1ceb8
DL3DV-ALL-480P/10K_extracted/9cc6ad4a9e4e6b1e7e4118af53d99c98dbe58893075e81412aee4041121f9a16,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9cc6ad4a9e4e6b1e7e4118af53d99c98dbe58893075e81412aee4041121f9a16
DL3DV-ALL-480P/10K_extracted/9d323754bcbb4f036f5611eb760462542c3ef0527ec8d4a808adf691b0c53ea0,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9d323754bcbb4f036f5611eb760462542c3ef0527ec8d4a808adf691b0c53ea0
DL3DV-ALL-480P/10K_extracted/9d54ee2753b0e45a3f455a7711bf855687c5d6dccfef463247f613f82192c789,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9d54ee2753b0e45a3f455a7711bf855687c5d6dccfef463247f613f82192c789
DL3DV-ALL-480P/10K_extracted/9e45b8f1628703bb3061719df9fff6baa70971c779abe3ebf58fc7130921625d,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9e45b8f1628703bb3061719df9fff6baa70971c779abe3ebf58fc7130921625d
DL3DV-ALL-480P/10K_extracted/9ea237f774d4c52fbdbe29aabd7614f7ac2e753c80940f2893d226fe95e2f662,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9ea237f774d4c52fbdbe29aabd7614f7ac2e753c80940f2893d226fe95e2f662
DL3DV-ALL-480P/10K_extracted/9efeef19130e667f2252ef6bfb1301efbaa492fde9fd8e46c03d0e1f8dc3e775,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9efeef19130e667f2252ef6bfb1301efbaa492fde9fd8e46c03d0e1f8dc3e775
DL3DV-ALL-480P/10K_extracted/9f36659117da4b976a832a5eaf8b96350834d87fc4acea73131b178ed17cb644,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9f36659117da4b976a832a5eaf8b96350834d87fc4acea73131b178ed17cb644
DL3DV-ALL-480P/10K_extracted/9f45cbdc44e8f47b81fe81d887a4f0c3b52e8fecaa48a19cea89e673e205886c,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9f45cbdc44e8f47b81fe81d887a4f0c3b52e8fecaa48a19cea89e673e205886c
DL3DV-ALL-480P/10K_extracted/9f53e5bedb61d2d17c3b4397b9af1c91f9a911abf3a09b149ae1f91c0e201579,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9f53e5bedb61d2d17c3b4397b9af1c91f9a911abf3a09b149ae1f91c0e201579
DL3DV-ALL-480P/10K_extracted/9f9d6b571fde9bfb25a7c18c7b200de240da17a49b5c6e0eca4fbe04b054528d,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9f9d6b571fde9bfb25a7c18c7b200de240da17a49b5c6e0eca4fbe04b054528d
DL3DV-ALL-480P/10K_extracted/a00506bbdd455601fb2519e977588930d3d22389124aaf81f540778e8aca56c8,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a00506bbdd455601fb2519e977588930d3d22389124aaf81f540778e8aca56c8
DL3DV-ALL-480P/10K_extracted/a013c322c3c8faf426affe33b18bbd5e841b6844bf7e72253dc26dfc6fe4f3d2,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a013c322c3c8faf426affe33b18bbd5e841b6844bf7e72253dc26dfc6fe4f3d2
DL3DV-ALL-480P/10K_extracted/a141d53dc0f0cf2c1aa2dc9dd3a9ecb132c967e92e1f3af013ce62984ca82cb2,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a141d53dc0f0cf2c1aa2dc9dd3a9ecb132c967e92e1f3af013ce62984ca82cb2
DL3DV-ALL-480P/10K_extracted/a19afa7dae49989433ec996079ad19065814e396630cad9d47a24dcf34e0ed7c,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a19afa7dae49989433ec996079ad19065814e396630cad9d47a24dcf34e0ed7c
DL3DV-ALL-480P/10K_extracted/a19b532d619f7c25ebc399b7f2073b1467d4b97cb3b8cbc1e1af010bc8355ee8,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a19b532d619f7c25ebc399b7f2073b1467d4b97cb3b8cbc1e1af010bc8355ee8
DL3DV-ALL-480P/10K_extracted/a23ca8a76d35cd0178505f38ea66601cb5a7bab13becd93b90ac66c66e207e04,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a23ca8a76d35cd0178505f38ea66601cb5a7bab13becd93b90ac66c66e207e04
DL3DV-ALL-480P/10K_extracted/a28d21c588f13e8bf51eb91062d7850052f0ecd748b7ab1ecdc98a2d08dda114,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a28d21c588f13e8bf51eb91062d7850052f0ecd748b7ab1ecdc98a2d08dda114
DL3DV-ALL-480P/10K_extracted/a2ff43318ac51b73facd443a7fbbc700cd46a28e9ab0a4c7c118b1146226540c,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a2ff43318ac51b73facd443a7fbbc700cd46a28e9ab0a4c7c118b1146226540c
DL3DV-ALL-480P/10K_extracted/a3149af06a70ab8e2d2ab6f73fb5ea734c006fb78354ff74ec30f1deabf72663,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a3149af06a70ab8e2d2ab6f73fb5ea734c006fb78354ff74ec30f1deabf72663
DL3DV-ALL-480P/10K_extracted/a32d90c0426696df921f2428be4c2745e51b296af2c406043fb1924b1bb5480d,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a32d90c0426696df921f2428be4c2745e51b296af2c406043fb1924b1bb5480d
DL3DV-ALL-480P/10K_extracted/a4172332ae0635c0087ab8262f51cbd14cd681786754a7501b327165e6c3ca6c,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a4172332ae0635c0087ab8262f51cbd14cd681786754a7501b327165e6c3ca6c
DL3DV-ALL-480P/10K_extracted/a438243be756a343ddd4821354716b2e09038ca453ffd60a041732ca316b8112,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a438243be756a343ddd4821354716b2e09038ca453ffd60a041732ca316b8112
DL3DV-ALL-480P/10K_extracted/a464b0f6c6c9d7f40d63f0be4bc6d3975ebeec67a2cefd8aa5e1935068af4ca3,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a464b0f6c6c9d7f40d63f0be4bc6d3975ebeec67a2cefd8aa5e1935068af4ca3
DL3DV-ALL-480P/10K_extracted/a53ef204e1cdbe20f76a1694f724ddb1fa1085c8f95c5c2105a486b5bd51a153,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a53ef204e1cdbe20f76a1694f724ddb1fa1085c8f95c5c2105a486b5bd51a153
DL3DV-ALL-480P/10K_extracted/a545c628150da4adc3880e36b5f10a1b7104a47e2bb54992c8dd4e15d88180f9,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a545c628150da4adc3880e36b5f10a1b7104a47e2bb54992c8dd4e15d88180f9
DL3DV-ALL-480P/10K_extracted/a5b3aea49eb71d49766dc4d20fd9f6f6fe6ebec3753ce571762cc1bd8f40fbb3,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a5b3aea49eb71d49766dc4d20fd9f6f6fe6ebec3753ce571762cc1bd8f40fbb3
DL3DV-ALL-480P/10K_extracted/a6016a5649874d41c28f6ef3d2c0ab5b99c05e1cc61ba5bf71848e80cac4227c,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a6016a5649874d41c28f6ef3d2c0ab5b99c05e1cc61ba5bf71848e80cac4227c
DL3DV-ALL-480P/10K_extracted/a621748d87a0d91f58a6c3e3976777fba9a94cc16967c5c4d4ea220d7662dd34,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a621748d87a0d91f58a6c3e3976777fba9a94cc16967c5c4d4ea220d7662dd34
DL3DV-ALL-480P/10K_extracted/a67d6e2428ea0d477402adb714cab4cd2c22dd2a7e1029b7a88d816a6964d1bb,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a67d6e2428ea0d477402adb714cab4cd2c22dd2a7e1029b7a88d816a6964d1bb
DL3DV-ALL-480P/10K_extracted/a7136d7303854a86817740f88d0a908d80f6930f9f7160fc26d2f38fc94c28d9,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a7136d7303854a86817740f88d0a908d80f6930f9f7160fc26d2f38fc94c28d9
DL3DV-ALL-480P/10K_extracted/a734c924f8bad10cf673a00ee6ac5ff4e54897e2b41842d8ab4bc9189ecbe0f1,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a734c924f8bad10cf673a00ee6ac5ff4e54897e2b41842d8ab4bc9189ecbe0f1
DL3DV-ALL-480P/10K_extracted/a7a02897b0b82a8b7ed7ae1bf307bd184201ef590fdbef89b64c200f7c8d26ed,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a7a02897b0b82a8b7ed7ae1bf307bd184201ef590fdbef89b64c200f7c8d26ed
DL3DV-ALL-480P/10K_extracted/a7c8375efe06364f33d75d17f505d67901d4315b0597caa460461a7e772e67d8,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a7c8375efe06364f33d75d17f505d67901d4315b0597caa460461a7e772e67d8
DL3DV-ALL-480P/10K_extracted/a82da99d2e81b8e0cee8f20ff6defe88d1b5d872c93d150c86aab20c476b345d,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a82da99d2e81b8e0cee8f20ff6defe88d1b5d872c93d150c86aab20c476b345d
DL3DV-ALL-480P/10K_extracted/a847ddc546f6dc45559c02015c83c576ee4138528028e837f733b68aa16df1db,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a847ddc546f6dc45559c02015c83c576ee4138528028e837f733b68aa16df1db
DL3DV-ALL-480P/10K_extracted/a84f72e0c8dfe98bea12c502d56ca4affb3d520f0166400a9f26d365ff0ca989,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a84f72e0c8dfe98bea12c502d56ca4affb3d520f0166400a9f26d365ff0ca989
DL3DV-ALL-480P/10K_extracted/a8d25e809e379cfc2b7c84eeac63debbc78b0127657cdf029e2ec47bb7220554,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a8d25e809e379cfc2b7c84eeac63debbc78b0127657cdf029e2ec47bb7220554
DL3DV-ALL-480P/10K_extracted/a97233a9ffef37dc2c1a3b577253b338dc100e87688fcc337809940c09d8772c,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a97233a9ffef37dc2c1a3b577253b338dc100e87688fcc337809940c09d8772c
DL3DV-ALL-480P/10K_extracted/a9dd07805733d67e1d8c3b6a4f402f2a31664d4ff63b47092a70b8eff90a08d6,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a9dd07805733d67e1d8c3b6a4f402f2a31664d4ff63b47092a70b8eff90a08d6
DL3DV-ALL-480P/10K_extracted/a9e58c61d798973ea239b5e289fa206532572a3bb0de4913427ae809909454df,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a9e58c61d798973ea239b5e289fa206532572a3bb0de4913427ae809909454df
DL3DV-ALL-480P/10K_extracted/a9f2704d5bdc14e08cbd950b2a490057c65cfb9d006f994dbaf12d15aa0f3439,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a9f2704d5bdc14e08cbd950b2a490057c65cfb9d006f994dbaf12d15aa0f3439
DL3DV-ALL-480P/10K_extracted/aa8ecbfbec703d101a7cc6dc0514ccf1b3b8e440b932463610dfc54e9866427f,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/aa8ecbfbec703d101a7cc6dc0514ccf1b3b8e440b932463610dfc54e9866427f
DL3DV-ALL-480P/10K_extracted/aaef04c62dfaf29ea2620e817494e44c1a63efa934523dd96a2619668a281b9f,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/aaef04c62dfaf29ea2620e817494e44c1a63efa934523dd96a2619668a281b9f
DL3DV-ALL-480P/10K_extracted/ab3e460b25b47631a0565a3bb675f758737f50bad56cd23bba7c7813915998b8,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/ab3e460b25b47631a0565a3bb675f758737f50bad56cd23bba7c7813915998b8
DL3DV-ALL-480P/10K_extracted/ab4ae1323d587d2e3ca8e2ba95fd9be866324c476f21da89767ee07ba0c24b69,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/ab4ae1323d587d2e3ca8e2ba95fd9be866324c476f21da89767ee07ba0c24b69
DL3DV-ALL-480P/10K_extracted/abb29dd07817bf751b38ec21eade3f71ddc86bca55373637eed635f8cdb4f983,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/abb29dd07817bf751b38ec21eade3f71ddc86bca55373637eed635f8cdb4f983
DL3DV-ALL-480P/10K_extracted/abb7a601b111e9671009c52b637e62febfe80116d5744e7d780c147bc1b422c3,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/abb7a601b111e9671009c52b637e62febfe80116d5744e7d780c147bc1b422c3
DL3DV-ALL-480P/10K_extracted/abd448f46166fd587a0b874e8510a87756172cc3deb8f2dcc6695ac164eb767a,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/abd448f46166fd587a0b874e8510a87756172cc3deb8f2dcc6695ac164eb767a
DL3DV-ALL-480P/10K_extracted/abd7097aa5a6e8e99471de3cefe325b48c78ad0af33df39464500dcd41987e53,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/abd7097aa5a6e8e99471de3cefe325b48c78ad0af33df39464500dcd41987e53
